id,node_id,mqtt_host,client_cert,client_key,random,qrcode
1,JWSAyPMdwfCSQUPEWKJgaG,a3q0b7ncspt14l-ats.iot.us-east-1.amazonaws.com,/Users/esp/admin_cli/esp-rainmaker-admin-cli 1/2025-05-27/Mfg-000001/node_details/node-000001-JWSAyPMdwfCSQUPEWKJgaG/node.crt,/Users/esp/admin_cli/esp-rainmaker-admin-cli 1/2025-05-27/Mfg-000001/node_details/node-000001-JWSAyPMdwfCSQUPEWKJgaG/node.key,b5ce8f3b6c2bac8dec75b4055d959c9580ad03a5ce55039865997fffaf694ce6f93d39942631360498a3418143db8dcf5e8a0e1abb4cf83b56753db4d734136f,"{""ver"": ""v1"", ""name"": ""PROV_34136f"", ""pop"": ""b5ce8f3b"", ""transport"": ""ble""}"
2,BzXfXqug655sYvNPBez9tr,a3q0b7ncspt14l-ats.iot.us-east-1.amazonaws.com,/Users/esp/admin_cli/esp-rainmaker-admin-cli 1/2025-05-27/Mfg-000001/node_details/node-000002-BzXfXqug655sYvNPBez9tr/node.crt,/Users/esp/admin_cli/esp-rainmaker-admin-cli 1/2025-05-27/Mfg-000001/node_details/node-000002-BzXfXqug655sYvNPBez9tr/node.key,9c002caf71212d8888ad26a9ed90a51e65d85b7bd6e8759bad7f70681b7d0646e3cd8d5471394539855d23a65ddaf164ce364d99de0f0f5d434b833c00b0cee4,"{""ver"": ""v1"", ""name"": ""PROV_b0cee4"", ""pop"": ""9c002caf"", ""transport"": ""ble""}"
3,bEniW4ArMDhj5GrkX8CYM6,a3q0b7ncspt14l-ats.iot.us-east-1.amazonaws.com,/Users/esp/admin_cli/esp-rainmaker-admin-cli 1/2025-05-27/Mfg-000001/node_details/node-000003-bEniW4ArMDhj5GrkX8CYM6/node.crt,/Users/esp/admin_cli/esp-rainmaker-admin-cli 1/2025-05-27/Mfg-000001/node_details/node-000003-bEniW4ArMDhj5GrkX8CYM6/node.key,ab046cfe82434293ca4eb63cee52b3e4d813504a473a144cffc1f5c12194e783e24cac0f765cd6f167c1b65de576885c5c36fe59cacaedceb403a47e8289d027,"{""ver"": ""v1"", ""name"": ""PROV_89d027"", ""pop"": ""ab046cfe"", ""transport"": ""ble""}"
4,YTvNmzaYHdzkdREpd7BSaS,a3q0b7ncspt14l-ats.iot.us-east-1.amazonaws.com,/Users/esp/admin_cli/esp-rainmaker-admin-cli 1/2025-05-27/Mfg-000001/node_details/node-000004-YTvNmzaYHdzkdREpd7BSaS/node.crt,/Users/esp/admin_cli/esp-rainmaker-admin-cli 1/2025-05-27/Mfg-000001/node_details/node-000004-YTvNmzaYHdzkdREpd7BSaS/node.key,c59bdde0313e6b44546cdeadf9e27dd923b28e282116f076be207fb7165057cc19f33596b5cc60ced352d39631f6ff0c49f5453b9e8adcde50d3487b1301f6b3,"{""ver"": ""v1"", ""name"": ""PROV_01f6b3"", ""pop"": ""c59bdde0"", ""transport"": ""ble""}"
5,7Qu8FhtprvBwq9t94H3qYV,a3q0b7ncspt14l-ats.iot.us-east-1.amazonaws.com,/Users/esp/admin_cli/esp-rainmaker-admin-cli 1/2025-05-27/Mfg-000001/node_details/node-000005-7Qu8FhtprvBwq9t94H3qYV/node.crt,/Users/esp/admin_cli/esp-rainmaker-admin-cli 1/2025-05-27/Mfg-000001/node_details/node-000005-7Qu8FhtprvBwq9t94H3qYV/node.key,af1ed51a4d19313d63e8dae2763acfea7da602ec55e792d7b08beb591449efd1cc53c9ce502b87a5ce402304ee452ffd47e361f06b495132812ffb8154df05c0,"{""ver"": ""v1"", ""name"": ""PROV_df05c0"", ""pop"": ""af1ed51a"", ""transport"": ""ble""}"
6,DqHcSWr7DkZByTwNu8DbHe,a3q0b7ncspt14l-ats.iot.us-east-1.amazonaws.com,/Users/esp/admin_cli/esp-rainmaker-admin-cli 1/2025-05-27/Mfg-000001/node_details/node-000006-DqHcSWr7DkZByTwNu8DbHe/node.crt,/Users/esp/admin_cli/esp-rainmaker-admin-cli 1/2025-05-27/Mfg-000001/node_details/node-000006-DqHcSWr7DkZByTwNu8DbHe/node.key,e5e4a4d41515e9be2ea18c0a2f9649217931079c3a4a103f2acf41d21b49ea31ef2c0a0a45441a1520c17aa33359003e73fb9d7aa6b77fa05227edb10bc3e1c2,"{""ver"": ""v1"", ""name"": ""PROV_c3e1c2"", ""pop"": ""e5e4a4d4"", ""transport"": ""ble""}"
7,n3Jbuejv8Wew32KdnhenFR,a3q0b7ncspt14l-ats.iot.us-east-1.amazonaws.com,/Users/esp/admin_cli/esp-rainmaker-admin-cli 1/2025-05-27/Mfg-000001/node_details/node-000007-n3Jbuejv8Wew32KdnhenFR/node.crt,/Users/esp/admin_cli/esp-rainmaker-admin-cli 1/2025-05-27/Mfg-000001/node_details/node-000007-n3Jbuejv8Wew32KdnhenFR/node.key,e1df372cbb7187335bd9e4f16d57fb1b3542cb5ad31fb9efb0583370e2f188223dbaa245e83246a9b295a2bd5eae40b1af0b9ffdd16870b5fccc88982e9a085d,"{""ver"": ""v1"", ""name"": ""PROV_9a085d"", ""pop"": ""e1df372c"", ""transport"": ""ble""}"
8,TUqzsqXisehAsEX3WP2cYR,a3q0b7ncspt14l-ats.iot.us-east-1.amazonaws.com,/Users/esp/admin_cli/esp-rainmaker-admin-cli 1/2025-05-27/Mfg-000001/node_details/node-000008-TUqzsqXisehAsEX3WP2cYR/node.crt,/Users/esp/admin_cli/esp-rainmaker-admin-cli 1/2025-05-27/Mfg-000001/node_details/node-000008-TUqzsqXisehAsEX3WP2cYR/node.key,19758fe0242fa29b157373c660900def0ab2f28ca69772e30cb0455f312b2182703751fb67ba6dec973a39d083faeddc793fed619ab4e82a3e2080c02c7cfea7,"{""ver"": ""v1"", ""name"": ""PROV_7cfea7"", ""pop"": ""19758fe0"", ""transport"": ""ble""}"
9,CVFtugscpGxP6vNhDNTE4z,a3q0b7ncspt14l-ats.iot.us-east-1.amazonaws.com,/Users/esp/admin_cli/esp-rainmaker-admin-cli 1/2025-05-27/Mfg-000001/node_details/node-000009-CVFtugscpGxP6vNhDNTE4z/node.crt,/Users/esp/admin_cli/esp-rainmaker-admin-cli 1/2025-05-27/Mfg-000001/node_details/node-000009-CVFtugscpGxP6vNhDNTE4z/node.key,abd4342071767eb389339bcc7d03fb127fa31a3c418aa00e4e9bd088cc4cefd1858ade0a8562455447fb64d414f7c5b68ac1b6a74b07865bda1234bf02a31382,"{""ver"": ""v1"", ""name"": ""PROV_a31382"", ""pop"": ""abd43420"", ""transport"": ""ble""}"
10,WKU4YLZdbm9stR8BtQ5Xqk,a3q0b7ncspt14l-ats.iot.us-east-1.amazonaws.com,/Users/esp/admin_cli/esp-rainmaker-admin-cli 1/2025-05-27/Mfg-000001/node_details/node-000010-WKU4YLZdbm9stR8BtQ5Xqk/node.crt,/Users/esp/admin_cli/esp-rainmaker-admin-cli 1/2025-05-27/Mfg-000001/node_details/node-000010-WKU4YLZdbm9stR8BtQ5Xqk/node.key,0a04a77e3bd70c46f6aa331f40daa61882f848b49984c9269e01ccdea043b7dc1cd14ba2122f5a4623f138956761790dacec727188ded74e5d1e5c5619283bc8,"{""ver"": ""v1"", ""name"": ""PROV_283bc8"", ""pop"": ""0a04a77e"", ""transport"": ""ble""}"
